name,weight
KADER,1701
LOTFI,1699
KENJI,1697
JEAN-GUY,1691
ISAIAH,1673
SAÏD,1672
ABD,1664
MADJID,1663
MAHER,1663
DEMBA,1662
BOUBACAR,1656
SIMÉON,1656
JOAKIM,1651
CLAUDIO,1649
JEAN-JOSEPH,1642
JEAN-HUGUES,1641
BAPTISTIN,1640
JANY,1639
RAMON,1639
SALOMON,1639
SYLVERE,1639
MAËLAN,1636
ARNAULD,1635
JEFFERSON,1632
MALCOLM,1630
ENAËL,1626
BRIAC,1625
GOULVEN,1623
JERRY,1617
LOUNES,1617
JAWED,1611
NAJIB,1610
AIDAN,1606
HALIM,1601
MAJID,1598
ANES,1597
BERAT,1597
KYLIANN,1595
SELYAN,1595
GRATIEN,1591
MARIANO,1590
JEFF,1589
FRANC,1587
RAFIK,1587
JEAN-GABRIEL,1586
AIMÉ,1585
LANCELOT,1584
TAHA,1584
PIETRO,1582
TAYRON,1582
YAMINE,1576
JEAN-DOMINIQUE,1575
JEAN-DAVID,1574
LOUNIS,1574
ZYAD,1573
DORYAN,1571
SOANN,1570
ETAN,1569
RONY,1569
TRYSTAN,1569
HARON,1568
EVARISTE,1566
LISSANDRO,1566
SILVIO,1566
ARMANDO,1562
JALIL,1560
DINO,1559
SEMIH,1556
NIKOLA,1552
ELIES,1550
LYSANDRE,1549
HAKAN,1547
ABDELHAKIM,1544
ABDELKARIM,1542
GARRY,1539
MERWAN,1536
ROSAIRE,1536
SIDNEY,1536
DENYS,1526
JOSIAN,1522
PHILIP,1521
SOULAYMAN,1514
LIHAM,1513
DELPHIN,1511
SILAS,1510
TYMEO,1508
OTHMANE,1504
LARBI,1503
BADR,1501
DAOUDA,1498
MOHAND,1494
AZZEDINE,1490
NOUR,1489
EVEN,1488
NACIM,1487
SONY,1485
GUENAEL,1481
HUSEYIN,1481
SAMMY,1481
MAHMOUD,1472
SAINT,1472
AYAN,1471
GERY,1470
JEAN-MAX,1470
FLORIMOND,1467
LILIO,1466
THAO,1465
AMJAD,1459
BAUDOUIN,1459
JORDI,1454
CZESLAW,1453
ROBINSON,1451
KAAN,1449
NESSIM,1446
ORLANDO,1442
BARNABE,1441
NUNO,1441
ROHAN,1441
ALOYS,1440
NUMA,1433
MOULOUD,1432
DAYAN,1429
CHEIKH,1428
DUNCAN,1427
HAFID,1427
MALONN,1423
AHMAD,1422
RIDA,1416
MACEO,1411
GONTRAN,1406
ARDA,1405
CLAUDY,1405
YUNUS,1405
MEDDY,1402
YLIES,1399
SVEN,1398
DALIL,1397
MELIH,1397
GEROME,1396
ALASSANE,1394
DON,1393
ABOUBAKAR,1392
SIDI,1391
PACÔME,1390
JEAN-MAURICE,1385
AIDEN,1384
IANIS,1375
PIERRIC,1375
SOLAN,1370
NACER,1368
IDIR,1367
OLLIVIER,1365
MELCHIOR,1364
JOAQUIN,1360
LOUAN,1359
AURELE,1356
GEORGET,1355
ATHANASE,1353
AYAZ,1352
ADAN,1351
EMRYS,1351
NAHYL,1347
YANI,1347
HERBERT,1346
AMEDE,1345
ANDRÉAS,1338
KEN,1338
SILVERE,1335
SOHANN,1328
LOHANN,1327
RAMI,1317
KAHIL,1316
MEWEN,1315
TAYEB,1315
VICENTE,1312
JEAN-CHRISTIAN,1311
SINAN,1309
AUXENCE,1308
WILLEM,1308
MANSOUR,1306
YVES-MARIE,1305
GEOFFRAY,1303
DENIZ,1301
NAIL,1301
ANTHONIN,1298
AMAËL,1296
KENJY,1295
JEAN-LAURENT,1291
CARMELO,1289
EMANUEL,1288
PIERRE-ANDRÉ,1288
IDRISSA,1286
DIOGO,1284
ROMEO,1282
TAYLOR,1281
DAOUD,1280
TIMAËL,1278
LYHAM,1276
NATHÉO,1276
DARREN,1274
JOUD,1274
OTHON,1273
THEOPHANE,1270
KEZIAH,1269
KAYLAN,1268
DJILALI,1267
MALCOM,1261
MEDHY,1258
MAXANCE,1254
JEAN-EMMANUEL,1252
KIM,1252
JEAN-BENOÎT,1251
JANNICK,1249
ISLAM,1245
JAOUAD,1244
SAFWAN,1244
SOFIEN,1243
BENOIST,1240
JESSE,1239
ABDOU,1235
MAXENS,1230
CRISTIANO,1229
RAHIM,1222
SULEYMAN,1222
CHARLES-EDOUARD,1219
ARTHUS,1217
LEONEL,1215
BILLEL,1214
ENOHA,1212
HATEM,1208
TIMOTÉ,1206
LOUAY,1205
TYLIAN,1203
FURKAN,1202
KENY,1198
MODESTE,1198
SHAWN,1195
SILVAIN,1194
WERNER,1194
MAHO,1191
ILYASS,1190
HENRIQUE,1189
RENATO,1189
LENAIC,1186
LENI,1186
LOWEN,1186
ADRIEL,1185
MANOLO,1185
SOEN,1184
ARNAULT,1183
MAO,1183
OIHAN,1183
GIOVANI,1182
LONY,1180
DAWSON,1177
MESSAOUD,1176
FAHIM,1174
RODRIGO,1174
EVANS,1168
KAMERON,1164
DAVE,1163
PAUL-ANTOINE,1161
NOUREDDINE,1160
AÏSSA,1159
LAHCEN,1159
YAHIA,1159
AMAEL,1157
SIEGFRIED,1157
THEOTIME,1157
FRANZ,1153
JEHAN,1152
MADY,1152
OZAN,1150
NAZIM,1148
CHAHID,1147
GIOVANNY,1147
TÉLIO,1147
ALFREDO,1144
ALDRIC,1141
AUREL,1140
DONALD,1140
JEREMI,1137
AZAD,1136
DOUGLAS,1136
GODEFROY,1136
KIERAN,1133
SLOAN,1133
ÉDOUARD,1131
ABDELHAMID,1130
KILLYAN,1130
ALY,1129
SOËN,1129
JERÔME,1127
TIMOTE,1124
KENZI,1123
ANAËL,1122
NICOLA,1122
CHARLEY,1118
MANOAH,1118
GASPAR,1117
DONAT,1116
GWENAËL,1115
JEAN-MARCEL,1113
MOÏSE,1111
ENEKO,1107
MASSIMO,1107
ÉVAN,1106
DIÉGO,1104
EUSTACHE,1102
RIGOBERT,1101
HACENE,1100
HAROUNA,1099
JEOFFREY,1098
FLEURY,1097
GUISEPPE,1096
ARIS,1094
DILAN,1094
WASSIL,1092
CHEICK,1091
KEREM,1091
PIO,1089
PHILEMON,1088
LEVI,1087
LORIK,1086
AIMABLE,1085
THAÏS,1085
LARRY,1084
DANTE,1082
FOUED,1081
NIL,1081
GIULIO,1076
ELY,1074
ANTHIME,1072
AYRTON,1072
FADI,1072
ENIS,1071
HATIM,1071
FATHI,1070
MILÀN,1070
THIERY,1067
GUIDO,1066
MYLO,1063
FULBERT,1061
KHALIS,1059
ARTUR,1058
EDUARDO,1056
JEAN-NICOLAS,1056
KEYLAN,1056
TIMOTHEE,1054
MAYLON,1053
LISANDRU,1052
RAMY,1052
BURAK,1051
JOSUÉ,1049
UMUT,1049
DEAN,1048
KURT,1047
ADNAN,1046
KERIM,1046
AMARA,1040
KENZY,1040
ALONZO,1039
EZEKIEL,1038
LEVY,1037
ADNANE,1034
FLORIS,1034
FREDERIK,1034
LOEVAN,1034
BERENGER,1032
